Model,Folds,Mean_AUC,Std_AUC,Mean_Macro_F1,Std_Macro_F1,Mean_Balanced_Accuracy,Mean_Recall_Class_0,Mean_Recall_Class_1,Mean_Lift_Top_10pct
Random Forest,6,0.7552470684326993,0.012997718164577047,0.6745137733911579,0.02397849953329085,0.6869956021518254,0.7365876723778516,0.6374035319257995,1.6184044885945381
XGBoost,6,0.748513491812164,0.014702238430284243,0.6739424980629835,0.0203610689891663,0.6787196743080637,0.6589394808986636,0.698499867717464,1.6169417102773098
Logistic Regression,6,0.7227747394414054,0.01994569623979118,0.6418237956591082,0.02739557217454865,0.6487034966415987,0.6123722612405169,0.6850347320426803,1.5957988395243223
