Baseline,Folds,Mean_Macro_F1,Mean_Balanced_Accuracy,Mean_Recall_Class_0,Mean_Recall_Class_1,Mean_Precision_Class_1
Frequency_GTE_2,7,0.6461915362558077,0.6613776504777379,0.7379736668683806,0.5847816340870953,0.7631096920991279
Active_Last_60D,7,0.5866150090295265,0.5900101953798979,0.4304303555137592,0.7495900352460364,0.652395052022497
Recency_LTE_60,7,0.5866150090295265,0.5900101953798979,0.4304303555137592,0.7495900352460364,0.652395052022497
Top_35pct_By_Recency,7,0.5495531512830578,0.582182825265347,0.7468172032322898,0.4175484472984042,0.7010596208001844
Active_Last_90D,7,0.5229739899307433,0.555941918638923,0.217624968867343,0.894258868410503,0.6202199947474109
