Model,Train_Cutoffs,Test_Cutoff,Test_Customers,Target_Rate,AUC,F1_Default_0.50,Macro_F1_Default_0.50,Balanced_Accuracy_0.50,Selected_Macro_F1,Selected_Threshold,Selected_Balanced_Accuracy,Recall_Class_0,Recall_Class_1,Precision_Top_10pct,Lift_Top_10pct,Precision_Top_20pct,Lift_Top_20pct
XGBoost,3,2011-08-31,2327,0.6519123334765793,0.730247320491223,0.671850699844479,0.6332356285005296,0.666871342887603,0.6562139720834979,0.43999999999999995,0.6717408465375945,0.6790123456790124,0.6644693473961767,0.9699570815450643,1.4878642905440769,0.927038626609442,1.4220295874226576
Random Forest,3,2011-08-31,2327,0.6519123334765793,0.7290876242095754,0.6821166473541908,0.6417847159289114,0.6743682707097342,0.6534530518484764,0.4099999999999999,0.658398642544984,0.5962962962962963,0.7205009887936717,0.9699570815450643,1.4878642905440769,0.927038626609442,1.4220295874226576
Logistic Regression,3,2011-08-31,2327,0.6519123334765793,0.7063091546831384,0.6638098948188547,0.6251488381617033,0.6585951805464001,0.6407460920558897,0.38999999999999996,0.6477257745550429,0.6,0.6954515491100857,0.9656652360515021,1.481280820231935,0.9206008583690987,1.4121543819544446
