Model,Segment,Customers,Target_Rate,Macro_F1,Balanced_Accuracy,Recall_Class_0,Recall_Class_1,Precision_Class_1,Avg_Purchase_Probability
Random Forest,New_or_One_Time,7448,0.454484425349087,0.5116275869223921,0.560103880863112,0.9160718680777751,0.20413589364844903,0.6695736434108527,0.3714677280774175
Random Forest,Recently_Active,3984,0.8097389558232931,0.5393423925197018,0.5430927310588277,0.11873350923482849,0.967451952882827,0.8237001847453154,0.78340953798635
Random Forest,Established,2135,0.7049180327868853,0.6398313027179006,0.6291066814322628,0.3412698412698413,0.9169435215946844,0.7688022284122563,0.6493338709174789
Random Forest,Dormant,183,0.5027322404371585,0.6709535854691737,0.6783922599139991,0.8241758241758241,0.532608695652174,0.7538461538461538,0.4326192117223965
